"Prvi pristop","Ime","Visna","Gorovje","Drzava"
"1860","Mount Tom","4163","Sierra Nevada (U.S.)","Zdruzene Drzave Amerike"
"1865","Piz Roseg","3937","Alps","Svica"
"1865","Aiguille Verte","4121","Alps","Francija"
"1865","Obergabelhorn","4063","Alps","Svica"
"1865","Matterhorn","4478","Alps","Italija"
"1865","Piz Buin","3312","Alps","Avstrija"
"1867","Piz Badile","3308","Alps","Italija"
"1868","Grandes Jorasses","4208","Alps","Francija"
"1868","Kazbek","5047","Caucasus","Gruzija"
"1868","Mount Baker","3286","Cascade Range","Zdruzene Drzave Amerike"
"1868","Longs Peak","4345","Rocky Mountains","Zdruzene Drzave Amerike"
"1869","Langkofel","3181","Alps","Italija"
"1869","Große Zinne/ Cima Grande","2999","Alps","Italija"
"1869","Watzespitze","3533","Alps","Avstrija"
"1870","Ailefroide","3954","Alps","Francija"
"1870","Mount Rainier","4392","Cascade Range","Zdruzene Drzave Amerike"
"1871","Mount Lyell","3999","Sierra Nevada (U.S.)","Zdruzene Drzave Amerike"
"1872","Mount Ritter","4008","Sierra Nevada (U.S.)","Zdruzene Drzave Amerike"
"1872","Cotopaxi","5897","Andes","Ekvador"
"1873","Mount Whitney","4421","Sierra Nevada (U.S.)","Zdruzene Drzave Amerike"
"1874","Mount Elbrus (West)","5642","Caucasus","Rusija"
"1874","Blanca Peak","4372","Rocky Mountains","Zdruzene Drzave Amerike"
"1874","Mount Elbert","4404","Rocky Mountains","Zdruzene Drzave Amerike"
"1875","Half Dome","2693","Sierra Nevada (U.S.)","Zdruzene Drzave Amerike"
"1876","Store Skagastølstind","2405","Scandinavian Mts","Norveska"
"1877","Meije","3983","Alps","Francija"
"1877","Mount Kerinci","3805","Barisan Mountains","Poljska"
"1878","Aiguille du Dru","3754","Alps","Francija"
"1879","Mount Ruapehu","2797","Taupo Volcanic Zone","Nova Zelandija"
"1879","Petit Dru","3733","Alps","Francija"
"1880","Chimborazo","6270","Andes","Ekvador"
"1880","Antisana","5704","Andes","Ekvador"
"1880","Cayambe","5790","Andes","Ekvador"
"1880","Mount Apo","2954","Mindanao","Filipini"
"1881","Aiguille du Grépon","3482","Alps","Francija"
"1882","Dent du Géant","4013","Alps","Francija"
"1883","Kebnekaise","2111","Scandinavian Mts","Svedska"
"1883","Kabru E","7338","Himalayas","Indija"
"1885","Aiguille Blanche de Peuterey","4112","Alps","Italija"
"1888","Mount Kinabalu","4095","Crocker Range","Malezija"
"1888","Dykh-Tau","5205","Caucasus","Rusija"
"1888","Shkhara","5193","Caucasus","Gruzija"
"1889","Mount Victoria","4038","Owen Stanley Range","Papuanska Nova Gvineja"
"1889","Kibo","5895","Kilimanjaro","Tanzanija"
"1889","Iztaccihuatl","5230","Sierra Nevada (Mex)","Mehika"
"1890","Mount Sir Donald","3284","Columbia Mts","Kanada"
"1893","Devils Tower","1558","Rocky Mountains","Zdruzene drzave Amerike"
"1894","Mount Temple","3544","Canadian Rockies","Kanada"
"1894","Aoraki / Mount Cook","3764 [101]","Southern Alps","Nova Zelandija"
"1895","Mount Tasman","3497","Southern Alps","Nova Zelandija"
"1895","Delago Tower","2790","Alps","Italija"
"1897","Aconcagua","6959","Andes","Argentina"
"1897","Tupungato","6570","Andes","Argentina"
"1897","Mount Saint Elias","5489","Saint Elias Mts","Kanada"
"1898","Grand Teton","4197","Rocky Mountains","Zdruzene drzave Amerike"
"1898","Illimani","6438","Andes","Bolivija"
"1898","Jade Mountain","3952","osamelec","Kitajska"
"1899","Campanile Basso","2883","Alps","Italija"
"1899","Batian","5199","Mount Kenya","Kenija"
"1901","Mount Assiniboine","3618","Canadian Rockies","Kanada"
"1902","Alam-Kuh","4848","Alborz","Iran"
"1902","Mount Columbia","3747","Canadian Rockies","Kanada"
"1902","Mount Forbes","3612","Canadian Rockies","Kanada"
"1902","Mount Bryce","3507","Canadian Rockies","Kanada"
"1903","North Palisade","4343","Sierra Nevada (U.S.)","Zdruzene drzave Amerike"
"1903","Ushba","4710","Caucasus","Gruzija"
"1903","Karisimbi","4507","Virunga Mountains","Demokraticna Republika Kongo"
"1904","Mount Humphreys","4265","Sierra Nevada (U.S.)","Zdruzene drzave Amerike"
"1904","Hozomeen Mountain","2460","Cascade Range","Zdruzene drzave Amerike"
"1904","Mount Meru","4566","osamelec","Tanzanija"
"1906","Mount Stanley","5109","Rwenzori Mts","Uganda"
"1907","Trisul","7120","Himalayas","Indija"
"1907","Mount Olympus (US)","2432","Olympic Mts","Zdruzene drzave Amerike"
"1908","Mount Erebus","3794","Transantarctic Mts","Antarktika"
"1908","Herðubreið","1682","Highlands of Iceland","Islandija"
"1908","Maroon Bells","4317","Rocky Mountains","Zdruzene drzave Amerike"
"1908","Huascaran N.","6655","Andes","Peru"
